id,state,district,crop,org_val,pred_val
95,Bihar,ARARIA,Ragi,0.914422790788439,1.02507561411134
96,Bihar,ARARIA,Jowar,0.921654391718795,0.875556379821957
97,Bihar,ARARIA,Groundnut,0.617939687431212,0.742372881355932
98,Bihar,ARWAL,Maize,2.9613416744083,2.42115875428408
99,Bihar,ARWAL,Barley,0.86828529774588,1.02702702702703
100,Bihar,ARWAL,Wheat,2.09967590572197,2.13378915177348
101,Bihar,ARWAL,Rice,2.20926029156197,2.17305952303903
102,Bihar,AURANGABAD,Maize,1.88913502557903,1.99631141615298
103,Bihar,AURANGABAD,Barley,0.911537976227028,0.902261011219927
104,Bihar,AURANGABAD,Wheat,1.71477099134205,1.88988491712272
105,Bihar,AURANGABAD,Sugarcane,56.3633093905544,56.324277692834
106,Bihar,AURANGABAD,Rice,1.68431862902033,1.80137316224679
107,Bihar,AURANGABAD,Jowar,1.03259791616108,0.941767889590025
108,Maharashtra,AURANGABAD,Bajra,0.947713722305308,0.913909691913551
109,Maharashtra,AURANGABAD,Groundnut,0.762019374478552,0.830933011913094
110,Maharashtra,AURANGABAD,Soyabean,1.15571195834336,1.13830909083557
111,Bihar,BANKA,Maize,2.94009271715264,2.88033414335961
112,Bihar,BANKA,Barley,1.08434281195009,0.939264205954501
113,Bihar,BANKA,Wheat,1.85912201190678,1.86488078051953
114,Bihar,BANKA,Rice,2.04964378424803,2.0121872184734
115,Bihar,BANKA,Sugarcane,51.1463464722589,49.6674123988206
116,Bihar,BEGUSARAI,Rice,1.19227795920887,1.20452494865654
117,Bihar,BEGUSARAI,Maize,2.48644458385342,2.53273843614235
118,Bihar,BEGUSARAI,Wheat,2.20576372984744,2.17311582507635
119,Bihar,BEGUSARAI,Sugarcane,46.041427091544,45.4593668727188
120,Bihar,BHAGALPUR,Rice,1.51379423997447,1.60017657447292
121,Bihar,BHAGALPUR,Maize,3.07477653415765,3.2707492837795
122,Bihar,BHAGALPUR,Barley,0.943291937051215,0.91918565998917
123,Bihar,BHAGALPUR,Wheat,1.94597733357874,1.90232815359117
124,Bihar,BHAGALPUR,Sugarcane,50.1514496689144,40.9693536084628
125,Bihar,BHOJPUR,Rice,1.78351680651339,1.96328347371419
126,Bihar,BHOJPUR,Bajra,0.983069399282007,1.02327438238292
127,Bihar,BHOJPUR,Jowar,1.04285579497095,1.05028081366509
128,Bihar,BHOJPUR,Maize,2.34643306813792,1.61991025130496
129,Bihar,BHOJPUR,Barley,1.33946047297392,1.34767324872107
130,Bihar,BHOJPUR,Wheat,2.53310435844296,2.43337981441105
131,Bihar,BHOJPUR,Sugarcane,41.0443725783984,43.9818693101954
132,Bihar,BUXAR,Bajra,1.00006127044643,1.00282295917082
133,Bihar,BUXAR,Jowar,1.05454493575221,1.05991216831126
134,Bihar,BUXAR,Maize,1.53146112311815,1.52330658887522
135,Bihar,BUXAR,Barley,1.47331155376416,1.44521440820714
136,Bihar,BUXAR,Wheat,2.51943639759784,2.48118455797868
137,Bihar,BUXAR,Rice,2.41991325062286,2.57274442339184
138,Bihar,BUXAR,Sugarcane,38.2417219833631,34.190176738222
139,Bihar,DARBHANGA,Rice,1.22380015755682,1.18997162498118
140,Bihar,DARBHANGA,Maize,2.44751801993761,2.38509953245763
141,Bihar,DARBHANGA,Barley,0.995674401059111,1.11991915497846
142,Bihar,DARBHANGA,Wheat,1.95835256469122,1.93183711341593
143,Bihar,DARBHANGA,Ragi,0.902559305526697,0.986878665802297
144,Bihar,DARBHANGA,Sugarcane,37.521968236923,38.0234116741518
145,Bihar,GAYA,Rice,1.57783338470569,1.61674246315368
146,Bihar,GAYA,Maize,2.55567620304426,2.69785592539341
147,Bihar,GAYA,Barley,1.06199067134707,1.11772118152722
148,Bihar,GAYA,Wheat,2.08057945141,2.0932344060006
149,Bihar,GAYA,Ragi,0.849745126398963,0.863058630286964
150,Bihar,GAYA,Sugarcane,43.3896833497416,33.4187039347431
151,Bihar,GAYA,Jowar,1.12173129698741,1.17310012062726
152,Bihar,GOPALGANJ,Rice,1.38311749484661,1.42655694179459
153,Bihar,GOPALGANJ,Maize,2.42480235522234,2.5950411940688
154,Bihar,GOPALGANJ,Wheat,2.34912073243466,2.48651822572551
155,Bihar,GOPALGANJ,Ragi,0.965317024400473,1.01636516768589
156,Bihar,GOPALGANJ,Sugarcane,43.3204993250097,40.0846309435045
157,Bihar,GOPALGANJ,Barley,1.39499372472459,1.2970297029703
158,Bihar,JAMUI,Maize,2.34385858421277,2.47244165438921
159,Bihar,JAMUI,Barley,0.897515903202954,0.865767663819748
160,Bihar,JAMUI,Wheat,1.4141777311976,1.34946114876897
161,Bihar,JAMUI,Ragi,0.94098024634468,0.863729401773113
162,Bihar,JAMUI,Sugarcane,45.0665905699585,47.3393888237951
